"","Estimate","SE","Method","scale","indi","species"
"simData_1_BADGER.valuesc2",0.0185721470715266,0.0592539432107065,"rsf","movement","1","BADGER"
"simData_1_BADGER.c2",1.00024007004015,NA,"wides","movement","1","BADGER"
"simData_1_BADGER.valuesc21",0.077727665510316,0.0757802774152934,"ssf","movement","1","BADGER"
"simData_1_BADGER.valuesc22",0.281318169819999,0.222876790042296,"rsf","destination","1","BADGER"
"simData_1_BADGER.c21",1.08717476493237,NA,"wides","destination","1","BADGER"
"simData_1_BADGER.valuesc23",-0.00200316499674779,0.223245749393831,"ssf","destination","1","BADGER"
"simData_1_VULTURE.valuesc2",-0.00213818690453667,0.0107298105263845,"rsf","movement","1","VULTURE"
"simData_1_VULTURE.c2",1.00237716284249,NA,"wides","movement","1","VULTURE"
"simData_1_VULTURE.valuesc21",0.0046596337394806,0.0162846796366149,"ssf","movement","1","VULTURE"
"simData_1_VULTURE.valuesc22",0.343603544787177,0.0650271916030615,"rsf","destination","1","VULTURE"
"simData_1_VULTURE.c21",1.20191194995228,NA,"wides","destination","1","VULTURE"
"simData_1_VULTURE.valuesc23",-0.113698958787321,0.0660070572514408,"ssf","destination","1","VULTURE"
"simData_1_KINGCOBRA.valuesc2",-0.00943574313005045,0.00958431615055479,"rsf","movement","1","KINGCOBRA"
"simData_1_KINGCOBRA.c2",1.0007911536365,NA,"wides","movement","1","KINGCOBRA"
"simData_1_KINGCOBRA.valuesc21",-0.0222214128687034,0.0172842639537434,"ssf","movement","1","KINGCOBRA"
"simData_1_KINGCOBRA.valuesc22",0.081098202447263,0.0481200785520849,"rsf","destination","1","KINGCOBRA"
"simData_1_KINGCOBRA.c21",1.08179308022461,NA,"wides","destination","1","KINGCOBRA"
"simData_1_KINGCOBRA.valuesc23",-0.17227665474684,0.050679188369301,"ssf","destination","1","KINGCOBRA"
"simData_2_BADGER.valuesc2",0.0135802785675839,0.00761213773720441,"rsf","movement","2","BADGER"
"simData_2_BADGER.c2",1.00217355661947,NA,"wides","movement","2","BADGER"
"simData_2_BADGER.valuesc21",0.0464916733068581,0.0137131396166644,"ssf","movement","2","BADGER"
"simData_2_BADGER.valuesc22",0.357206388347595,0.054080469604021,"rsf","destination","2","BADGER"
"simData_2_BADGER.c21",1.17893363988483,NA,"wides","destination","2","BADGER"
"simData_2_BADGER.valuesc23",-0.0717358234925262,0.0555581302065209,"ssf","destination","2","BADGER"
"simData_2_VULTURE.valuesc2",0.00363506759265538,0.012793396806133,"rsf","movement","2","VULTURE"
"simData_2_VULTURE.c2",1.00647737455384,NA,"wides","movement","2","VULTURE"
"simData_2_VULTURE.valuesc21",0.0269210421931695,0.0190267527331681,"ssf","movement","2","VULTURE"
"simData_2_VULTURE.valuesc22",0.293171289385522,0.064669701594093,"rsf","destination","2","VULTURE"
"simData_2_VULTURE.c21",1.15835601495736,NA,"wides","destination","2","VULTURE"
"simData_2_VULTURE.valuesc23",-0.183023783716613,0.0658277438293747,"ssf","destination","2","VULTURE"
"simData_2_KINGCOBRA.valuesc2",-0.00103441176229122,0.0176143333685332,"rsf","movement","2","KINGCOBRA"
"simData_2_KINGCOBRA.c2",1.00054562955778,NA,"wides","movement","2","KINGCOBRA"
"simData_2_KINGCOBRA.valuesc21",0.0172406363329892,0.027933779205654,"ssf","movement","2","KINGCOBRA"
"simData_2_KINGCOBRA.valuesc22",0.322179520302842,0.0899130149026683,"rsf","destination","2","KINGCOBRA"
"simData_2_KINGCOBRA.c21",1.05710148964449,NA,"wides","destination","2","KINGCOBRA"
"simData_2_KINGCOBRA.valuesc23",0.14994817751135,0.0937227431809362,"ssf","destination","2","KINGCOBRA"
"simData_3_BADGER.valuesc2",0.0208130286466257,0.0170942519107897,"rsf","movement","3","BADGER"
"simData_3_BADGER.c2",1.00054027523514,NA,"wides","movement","3","BADGER"
"simData_3_BADGER.valuesc21",0.0266875055865211,0.0246598556458532,"ssf","movement","3","BADGER"
"simData_3_BADGER.valuesc22",0.788868108445147,0.0855957970589571,"rsf","destination","3","BADGER"
"simData_3_BADGER.c21",1.15155600661486,NA,"wides","destination","3","BADGER"
"simData_3_BADGER.valuesc23",0.445690810377314,0.0868089920213025,"ssf","destination","3","BADGER"
"simData_3_VULTURE.valuesc2",-0.000391713615277162,0.0152506544796123,"rsf","movement","3","VULTURE"
"simData_3_VULTURE.c2",1.00186094118554,NA,"wides","movement","3","VULTURE"
"simData_3_VULTURE.valuesc21",0.000721058591357488,0.0223681684741562,"ssf","movement","3","VULTURE"
"simData_3_VULTURE.valuesc22",0.306097141859363,0.066736289490582,"rsf","destination","3","VULTURE"
"simData_3_VULTURE.c21",1.17254366098037,NA,"wides","destination","3","VULTURE"
"simData_3_VULTURE.valuesc23",-0.180547425721603,0.06788789285955,"ssf","destination","3","VULTURE"
"simData_3_KINGCOBRA.valuesc2",0.0106459928418182,0.0115286652632628,"rsf","movement","3","KINGCOBRA"
"simData_3_KINGCOBRA.c2",1.00155316699557,NA,"wides","movement","3","KINGCOBRA"
"simData_3_KINGCOBRA.valuesc21",0.0384817754154706,0.0188546553534538,"ssf","movement","3","KINGCOBRA"
"simData_3_KINGCOBRA.valuesc22",0.194403472508965,0.0564739713904033,"rsf","destination","3","KINGCOBRA"
"simData_3_KINGCOBRA.c21",1.09423476929276,NA,"wides","destination","3","KINGCOBRA"
"simData_3_KINGCOBRA.valuesc23",-0.017021616057523,0.0588877299108472,"ssf","destination","3","KINGCOBRA"
"simData_4_BADGER.valuesc2",0.0792148649075956,0.0607566333943687,"rsf","movement","4","BADGER"
"simData_4_BADGER.c2",0.998754753442657,NA,"wides","movement","4","BADGER"
"simData_4_BADGER.valuesc21",0.124087684737044,0.0836590630599537,"ssf","movement","4","BADGER"
"simData_4_BADGER.valuesc22",-0.116799762201399,0.125140015604806,"rsf","destination","4","BADGER"
"simData_4_BADGER.c21",1.08143679106067,NA,"wides","destination","4","BADGER"
"simData_4_BADGER.valuesc23",-0.416943745151109,0.126791598606735,"ssf","destination","4","BADGER"
"simData_4_VULTURE.valuesc2",0.00702902183786698,0.0113000507025251,"rsf","movement","4","VULTURE"
"simData_4_VULTURE.c2",1.00716210190998,NA,"wides","movement","4","VULTURE"
"simData_4_VULTURE.valuesc21",0.0315580128497506,0.0168778795967345,"ssf","movement","4","VULTURE"
"simData_4_VULTURE.valuesc22",0.348196664576692,0.066075005661217,"rsf","destination","4","VULTURE"
"simData_4_VULTURE.c21",1.18612464456028,NA,"wides","destination","4","VULTURE"
"simData_4_VULTURE.valuesc23",-0.13896342911117,0.0673433320771164,"ssf","destination","4","VULTURE"
"simData_4_KINGCOBRA.valuesc2",0.00421305390915979,0.0181902030052745,"rsf","movement","4","KINGCOBRA"
"simData_4_KINGCOBRA.c2",1.00082715372903,NA,"wides","movement","4","KINGCOBRA"
"simData_4_KINGCOBRA.valuesc21",0.00588695534759178,0.0283920475887967,"ssf","movement","4","KINGCOBRA"
"simData_4_KINGCOBRA.valuesc22",0.212003421292252,0.0849881052402789,"rsf","destination","4","KINGCOBRA"
"simData_4_KINGCOBRA.c21",1.06906096960109,NA,"wides","destination","4","KINGCOBRA"
"simData_4_KINGCOBRA.valuesc23",0.0491328695689705,0.0889313686331372,"ssf","destination","4","KINGCOBRA"
